id,application_date,tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan
2926199.0,2024-02-13 06:09:26.994000+00:00,-3,217320883.0,729
2926200.0,2024-02-13 06:09:31.020000+00:00,-3,-1.0,-1
2926201.0,2024-02-13 06:09:26.994000+00:00,-3,217320883.0,729
2926202.0,2024-02-13 06:09:42.309000+00:00,-3,-1.0,-1
2926203.0,2024-02-13 06:09:42.929000+00:00,-3,-1.0,-1
2926204.0,2024-02-13 06:09:48.104000+00:00,-3,-1.0,-1
2926205.0,2024-02-13 06:09:54.210000+00:00,-3,217320883.0,729
2926206.0,2024-02-13 06:09:54.306000+00:00,-3,-1.0,-1
2926207.0,2024-02-13 06:09:55.661000+00:00,-3,-1.0,-1
2926208.0,2024-02-13 06:09:57.024000+00:00,-3,-1.0,-1
2926209.0,2024-02-13 06:10:00.403000+00:00,-3,-1.0,-1
